x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
ZX04-000905-fore_q_annouce_EPTTMlong-指数,6.25,-24.06,-18.78,75.96,8.43,12,13,12.56,0.54,831,0.80,5.11,18.26,0.50,49.90
ZX04-000905-fore_q_annouce_Grh1Q-long,11.51,-40.82,-31.27,146.94,13.23,10,7,22.04,0.61,790,1.41,11.36,38.28,0.52,54.77
ZX04-000905-fore_q_annouce_Grh1Q-指数,7.07,-65.20,-50.23,197.63,8.43,17,8,26.38,0.39,994,1.69,4.44,37.57,0.27,55.13
ZX04-000905-fore_q_annouce_Grh1Qlong-指数,2.53,-29.37,-23.20,46.90,5.15,11,11,10.05,0.30,1666,0.64,5.32,18.11,0.25,47.70
ZX04-000905-fore_q_annouce_GrhTTM-long,14.23,-45.67,-38.78,177.17,16.23,14,7,24.42,0.67,777,1.56,12.77,48.80,0.58,54.53
ZX04-000905-fore_q_annouce_GrhTTM-指数,7.10,-65.20,-50.23,197.63,8.46,17,8,26.38,0.39,994,1.69,4.38,37.80,0.27,55.17
ZX04-000905-fore_q_annouce_GrhTTMlong-指数,5.74,-19.43,-16.29,40.39,7.42,13,9,8.58,0.69,648,0.55,6.35,21.92,0.67,48.53
ZX04-000905-fore_q_equalgrowth_EP1Q-long,14.75,-40.62,-31.41,180.28,16.72,11,9,22.54,0.72,1235,1.44,13.98,45.09,0.65,55.53
ZX04-000905-fore_q_equalgrowth_EP1Q-指数,6.98,-65.20,-50.23,197.63,8.35,17,8,26.37,0.39,994,1.69,4.10,37.74,0.26,55.13
ZX04-000905-fore_q_equalgrowth_EP1Qlong-指数,5.88,-25.08,-23.38,47.13,7.52,12,10,8.24,0.74,665,0.53,6.63,16.91,0.71,49.87
ZX04-000905-fore_q_equalgrowth_EPTTM-long,15.35,-44.95,-30.46,190.12,16.86,11,8,23.38,0.73,1262,1.50,12.10,47.69,0.66,55.60
ZX04-000905-fore_q_equalgrowth_EPTTM-指数,6.98,-65.20,-50.23,197.63,8.35,17,8,26.37,0.39,994,1.69,4.10,37.74,0.26,55.13
ZX04-000905-fore_q_equalgrowth_EPTTMlong-指数,6.65,-19.17,-17.07,43.15,7.57,12,10,8.22,0.82,655,0.53,6.51,19.87,0.81,51.50
ZX04-000905-fore_q_equalgrowth_Grh1Q-long,13.29,-44.20,-35.61,171.90,14.88,17,9,23.47,0.65,456,1.50,13.49,42.46,0.57,54.47
ZX04-000905-fore_q_equalgrowth_Grh1Q-指数,6.98,-65.20,-50.23,197.63,8.35,17,8,26.37,0.39,994,1.69,4.10,37.74,0.26,55.13
ZX04-000905-fore_q_equalgrowth_Grh1Qlong-指数,4.75,-17.89,-17.05,36.00,6.69,13,10,8.36,0.60,562,0.53,6.23,19.89,0.57,49.13
ZX04-000905-fore_q_equalgrowth_GrhTTM-long,13.20,-49.13,-39.89,170.36,15.25,13,9,24.38,0.63,609,1.56,14.08,43.14,0.54,55.13
ZX04-000905-fore_q_equalgrowth_GrhTTM-指数,6.98,-65.20,-50.23,197.63,8.35,17,8,26.37,0.39,994,1.69,4.10,37.74,0.26,55.13
ZX04-000905-fore_q_equalgrowth_GrhTTMlong-指数,4.91,-19.08,-17.34,32.66,7.07,15,17,8.32,0.62,655,0.53,7.40,18.74,0.59,50.07
ZX04-000905-fore_q_equalratio_EP1Q-long,13.38,-43.47,-31.57,166.03,15.15,11,9,21.87,0.68,1234,1.40,12.46,41.34,0.61,55.67
ZX04-000905-fore_q_equalratio_EP1Q-指数,6.95,-65.20,-50.23,197.63,8.43,17,8,26.37,0.39,994,1.69,4.51,37.66,0.26,55.13
ZX04-000905-fore_q_equalratio_EP1Qlong-指数,4.53,-22.30,-20.73,32.98,6.28,9,17,7.99,0.59,665,0.51,5.70,15.07,0.57,49.97
ZX04-000905-fore_q_equalratio_EPTTM-long,13.65,-40.38,-28.42,182.34,15.83,11,9,22.52,0.68,1233,1.44,10.75,44.35,0.61,55.53
ZX04-000905-fore_q_equalratio_EPTTM-指数,6.81,-65.20,-50.23,197.63,8.32,17,8,26.36,0.38,994,1.69,4.38,37.30,0.26,55.13
ZX04-000905-fore_q_equalratio_EPTTMlong-指数,5.05,-26.13,-22.38,42.99,6.80,14,9,8.14,0.65,1263,0.52,5.69,17.26,0.62,50.57
ZX04-000905-fore_q_equalratio_Grh1Q-long,13.78,-45.46,-34.96,187.55,15.69,13,9,23.65,0.66,1237,1.51,11.88,44.59,0.58,55.30
ZX04-000905-fore_q_equalratio_Grh1Q-指数,6.95,-65.20,-50.23,197.63,8.43,17,8,26.37,0.39,994,1.69,4.51,37.66,0.26,55.13
ZX04-000905-fore_q_equalratio_Grh1Qlong-指数,5.31,-23.22,-19.09,31.97,7.06,11,9,8.14,0.67,768,0.52,7.47,21.49,0.65,49.73
ZX04-000905-fore_q_equalratio_GrhTTM-long,13.41,-50.59,-42.36,184.58,15.23,17,9,25.16,0.63,458,1.61,13.55,44.26,0.53,54.90
ZX04-000905-fore_q_equalratio_GrhTTM-指数,7.10,-65.20,-50.23,197.63,8.46,17,8,26.38,0.39,994,1.69,4.38,37.80,0.27,55.17
ZX04-000905-fore_q_equalratio_GrhTTMlong-指数,5.23,-18.94,-15.78,31.79,7.03,16,10,7.83,0.69,601,0.50,7.87,15.38,0.67,50.40
ZX04-000905-fore_q_simple_EP1Q-long,14.72,-37.60,-29.23,172.00,16.12,12,9,21.80,0.74,1232,1.40,11.12,45.54,0.68,55.50
ZX04-000905-fore_q_simple_EP1Q-指数,6.95,-65.20,-50.23,197.63,8.43,17,8,26.37,0.39,994,1.69,4.51,37.66,0.26,55.13
ZX04-000905-fore_q_simple_EP1Qlong-指数,5.66,-29.17,-23.64,45.43,6.80,14,13,8.93,0.66,1518,0.57,6.64,16.82,0.63,49.67
ZX04-000905-fore_q_simple_EPTTM-long,13.36,-42.30,-29.58,180.59,14.74,10,8,22.51,0.67,1237,1.44,8.97,45.00,0.59,55.37
ZX04-000905-fore_q_simple_EPTTM-指数,6.81,-65.20,-50.23,197.63,8.32,17,8,26.36,0.38,994,1.69,4.38,37.30,0.26,55.13
ZX04-000905-fore_q_simple_EPTTMlong-指数,4.77,-29.63,-23.47,39.50,5.85,14,12,8.31,0.60,1543,0.53,5.76,18.57,0.57,49.70
ZX04-000905-fore_q_simple_Grh1Q-long,9.10,-54.79,-38.97,183.81,11.16,17,8,23.02,0.49,791,1.47,6.44,39.54,0.40,55.23
ZX04-000905-fore_q_simple_Grh1Q-指数,6.95,-65.20,-50.23,197.63,8.43,17,8,26.37,0.39,994,1.69,4.51,37.66,0.26,55.13
ZX04-000905-fore_q_simple_Grh1Qlong-指数,0.94,-19.03,-13.57,23.00,2.60,11,8,6.67,0.17,563,0.43,2.11,13.10,0.14,49.10
ZX04-000905-fore_q_simple_GrhTTM-long,12.03,-49.59,-37.27,162.07,13.45,17,9,23.70,0.60,615,1.52,11.05,41.70,0.51,55.33
ZX04-000905-fore_q_simple_GrhTTM-指数,7.10,-65.20,-50.23,197.63,8.46,17,8,26.38,0.39,994,1.69,4.38,37.80,0.27,55.17
ZX04-000905-fore_q_simple_GrhTTMlong-指数,3.53,-22.05,-14.59,25.81,5.26,13,16,8.43,0.45,624,0.54,5.61,18.34,0.42,47.87
