,candle_end_time,open,close,DIF,DEA,MACD,min,price_new_low,last_valley_price,last_valley_dif,state,macd_sig,signal,Observation,RollingMean,UpperBound,LowerBound,sell_sig1,sell_sig2,sell_sig3,r
2217,2016-02-19,2854.9,2860.02,-91.00775837444917,-127.33494211470884,72.65436748051934,2854.9,,2688.85,-180.0524919421191,,False,0.0,2860.02,2820.3810000000003,3013.400724992318,2627.3612750076827,True,False,,-0.0010024835044307734
2218,2016-02-22,2888.6,2927.18,-76.10252451439783,-117.08845859464664,81.97186816049762,2888.6,,2688.85,-180.0524919421191,,False,0.0,2927.18,2821.048,3015.4422463760434,2626.653753623956,True,False,,0.02348235327025683
2219,2016-02-23,2925.71,2903.33,-65.45993360393732,-106.76275359650478,82.60563998513493,2903.33,,2688.85,-180.0524919421191,,False,0.0,2903.33,2815.8275000000003,2994.8900406809325,2636.764959319068,True,False,,-0.008147773625127197
2220,2016-02-24,2889.89,2928.9,-54.33596712304734,-96.2773963018133,83.88285835753192,2889.89,,2688.85,-180.0524919421191,,False,0.0,2928.9,2813.4379999999996,2984.9672508702547,2641.9087491297446,True,False,,0.00880712836639308
2221,2016-02-25,2922.24,2741.25,-59.97062623775719,-89.01604228900209,58.0908321024898,2741.25,,2688.85,-180.0524919421191,,False,0.0,2741.25,2806.4764999999998,2977.8583236894206,2635.094676310579,False,False,,-0.06406842159172388
2222,2016-02-26,2760.06,2767.21,-61.630936071358065,-83.53902104547329,43.81616994823045,2760.06,,2688.85,-180.0524919421191,,False,0.0,2767.21,2799.009,2963.427282061675,2634.590717938325,False,False,,0.009470132238942108
2223,2016-02-29,2754.81,2687.98,-68.54974364957661,-80.54116556629396,23.982843833434686,2687.98,,2688.85,-180.0524919421191,,False,0.0,2687.98,2786.4825,2944.5302795956472,2628.434720404353,False,False,,-0.02863172654045054
2224,2016-03-01,2688.38,2733.17,-69.5843678929159,-78.34980603161834,17.53087627740487,2688.38,,2688.85,-180.0524919421191,,False,0.0,2733.17,2785.6519999999996,2944.634299467941,2626.669700532058,False,False,,0.016811881040781573
2225,2016-03-02,2733.77,2849.68,-60.30774166883157,-74.74139315906099,28.867302980458845,2733.77,,2688.85,-180.0524919421191,,False,0.0,2849.68,2791.3579999999997,2950.929968290529,2631.7860317094705,True,False,,0.04262815704840883
2226,2016-03-03,2847.33,2859.76,-51.54835939447685,-70.10278640614416,37.10885402333463,2847.33,,2688.85,-180.0524919421191,,False,0.0,2859.76,2801.563,2950.8935804050607,2652.2324195949395,True,False,,0.00353723926897076
2227,2016-03-04,2848.54,2874.15,-42.950229585287616,-64.67227504197285,43.444090913370474,2848.54,,2688.85,-180.0524919421191,,False,0.0,2874.15,2808.3905,2957.885264654524,2658.895735345476,True,False,,0.005031890788038007
2228,2016-03-07,2886.64,2897.34,-33.87442726087738,-58.51270548575376,49.27655644975276,2886.64,,2688.85,-180.0524919421191,,False,0.0,2897.34,2818.8149999999996,2962.4757821923226,2675.1542178076766,True,False,,0.008068472417932293
2229,2016-03-08,2895.67,2901.39,-26.054645641912884,-52.02109351698559,51.932895750145406,2895.67,,2688.85,-180.0524919421191,,False,0.0,2901.39,2826.406,2970.6720020105536,2682.1399979894463,True,False,,0.001397833875209642
2230,2016-03-09,2839.41,2862.56,-22.72866693028118,-46.16260819964471,46.86788253872706,2839.41,,2688.85,-180.0524919421191,,False,0.0,2862.56,2832.5715,2971.8654856961107,2693.2775143038893,True,False,,-0.013383240446820266
2231,2016-03-10,2847.57,2804.73,-24.477046379227886,-41.82549583556135,34.696898912666924,2804.73,,2688.85,-180.0524919421191,,False,0.0,2804.73,2833.757,2971.672594492096,2695.8414055079043,False,False,,-0.020202196635179637
2232,2016-03-11,2781.6,2810.31,-25.122790433197224,-38.48495475508852,26.7243286437826,2781.6,,2688.85,-180.0524919421191,,False,0.0,2810.31,2836.098,2970.7132004199666,2701.4827995800333,False,False,,0.0019894963151532163
2233,2016-03-14,2830.08,2859.5,-21.418427051740764,-35.071649214418976,27.306444325356424,2830.08,,2688.85,-180.0524919421191,,False,0.0,2859.5,2841.763,2970.1611461085286,2713.3648538914713,True,False,,0.017503407097437584
2234,2016-03-15,2853.98,2864.37,-17.883573381919177,-31.63403404791902,27.500921331999685,2853.98,,2688.85,-180.0524919421191,,False,0.0,2864.37,2843.153,2971.8976207191076,2714.408379280892,True,False,,0.0017030949466689815
2235,2016-03-16,2858.71,2870.43,-14.426880924002944,-28.192603423135804,27.53144499826572,2858.71,,2688.85,-180.0524919421191,,False,0.0,2870.43,2843.3075,2972.175209823318,2714.439790176682,True,False,,0.002115648467202247
2236,2016-03-17,2875.41,2904.83,-8.810077648723563,-24.316098268253356,31.012041239059585,2875.41,,2688.85,-180.0524919421191,,False,0.0,2904.83,2845.4044999999996,2976.8183719432104,2713.990628056789,True,False,,0.01198426716554657
2237,2016-03-18,2915.52,2955.15,-0.2949175025787554,-19.511862115118436,38.43388922507936,2915.52,,2688.85,-180.0524919421191,,False,0.0,2955.15,2850.161,2989.965152141866,2710.356847858134,True,False,,0.01732287259495391
2238,2016-03-21,2978.46,3018.8,11.457358025056692,-13.318018087083411,49.5507522242802,2978.46,,2688.85,-180.0524919421191,,False,0.0,3018.8,2854.7419999999997,3009.5408885751617,2699.9431114248378,True,True,,0.02153866977987584
2239,2016-03-22,3001.63,2999.36,18.98364388830305,-6.85768569200612,51.68265916061834,2999.36,,2688.85,-180.0524919421191,,False,0.0,2999.36,2859.5434999999998,3025.619364384638,2693.4676356153614,True,False,,-0.006439644892010099
2240,2016-03-23,2991.17,3009.96,25.509552825167702,-0.38423798857135516,51.78758162747812,2991.17,,2688.85,-180.0524919421191,,False,0.0,3009.96,2863.5965,3039.887297749356,2687.305702250644,True,False,,0.0035340872719513694
2241,2016-03-24,2986.8,2960.97,26.42370309963235,4.977350229069386,42.89270574112592,2960.97,,2688.85,-180.0524919421191,,False,0.0,2960.97,2874.5825,3046.3330839148816,2702.8319160851183,True,False,,-0.01627596380018348
2242,2016-03-25,2956.2,2979.43,28.31138547307728,9.644157277870965,37.334456390412626,2956.2,,2688.85,-180.0524919421191,,False,0.0,2979.43,2885.1935,3055.31321870157,2715.07378129843,True,False,,0.006234443442520554
2243,2016-03-28,2988.01,2957.82,27.74382738420354,13.264091299137482,28.95947217013212,2957.82,,2688.85,-180.0524919421191,,False,0.0,2957.82,2898.6855,3045.2763292462378,2752.0946707537623,True,False,,-0.007253065183608798
2244,2016-03-29,2956.71,2919.83,23.952449082273688,15.401762855764723,17.10137245301793,2919.83,,2688.85,-180.0524919421191,,False,0.0,2919.83,2908.0185,3033.5206652845013,2782.516334715499,True,False,,-0.012843918832112888
2245,2016-03-30,2941.22,3000.65,27.156213101191497,17.75265290485008,18.807120392682833,2941.22,,2688.85,-180.0524919421191,,False,0.0,3000.65,2915.567,3044.2461238861115,2786.8878761138885,True,False,,0.02767969368079659
2246,2016-03-31,3009.37,3003.92,29.61766681286599,20.125655686453264,18.984022252825454,3003.92,,2688.85,-180.0524919421191,,False,0.0,3003.92,2922.775,3054.2621177724127,2791.2878822275875,True,False,,0.001089763884491779
2247,2016-04-01,2997.09,3009.53,31.65615428710862,22.431755406584337,18.448797761048567,2997.09,,2688.85,-180.0524919421191,,False,0.0,3009.53,2929.544,3064.221364750337,2794.8666352496625,True,False,,0.0018675597219632856
2248,2016-04-05,3000.94,3053.06,36.36498459556469,25.21840124438041,22.293166702368566,3000.94,,2688.85,-180.0524919421191,,False,0.0,3053.06,2937.3300000000004,3081.3415492594067,2793.318450740594,True,False,,0.014464052526474092
2249,2016-04-06,3039.75,3050.59,39.44278629483324,28.06327825447098,22.75901608072452,3039.75,,2688.85,-180.0524919421191,,False,0.0,3050.59,2944.79,3095.865970028636,2793.7140299713637,True,False,,-0.0008090243886460513
2250,2016-04-07,3058.34,3008.42,38.040690346455904,30.05876067286797,15.96385934717587,3008.42,,2688.85,-180.0524919421191,,False,0.0,3008.42,2952.0829999999996,3100.6380339910847,2803.5279660089145,True,False,,-0.013823555443373325
2251,2016-04-08,2988.2,2984.96,34.63721699263942,30.974451936822263,7.325530111634322,2984.96,,2688.85,-180.0524919421191,,False,0.0,2984.96,2961.0945,3093.82493245274,2828.36406754726,True,False,,-0.007798113295351072
2252,2016-04-11,3006.91,3033.96,35.48478382947633,31.876518315353074,7.216531028246507,3006.91,,2688.85,-180.0524919421191,,False,0.0,3033.96,2972.277,3089.0325463525814,2855.5214536474186,True,False,,0.01641563036020588
2253,2016-04-12,3031.3,3023.65,34.92199677765984,32.485614007814426,4.872765539690832,3023.65,,2688.85,-180.0524919421191,,False,0.0,3023.65,2980.4844999999996,3087.0045077876857,2873.9644922123134,True,False,,-0.0033981990533823447
2254,2016-04-13,3041.36,3066.64,37.5124969874596,33.49099060374346,8.043012767432273,3041.36,,2688.85,-180.0524919421191,,False,0.0,3066.64,2990.598,3089.2155397385645,2891.9804602614354,True,False,,0.014217915433333728
