,3219
XHE US Equity,-1.0
XHS US Equity,-1.0
XITK US Equity,1.0
XLB US Equity,-1.0
XLC US Equity,1.0
XLP US Equity,-1.0
XLRE US Equity,-1.0
XLU US Equity,-1.0
XLY US Equity,1.0
XMHQ US Equity,-1.0
XMMO US Equity,-1.0
XMVM US Equity,-1.0
XOP US Equity,1.0
XPH US Equity,1.0
XRLV US Equity,1.0
XRT US Equity,-1.0
XSD US Equity,1.0
XSLV US Equity,1.0
XSMO US Equity,1.0
XSVM US Equity,-1.0
XTL US Equity,1.0
XTN US Equity,-1.0
XYLD US Equity,1.0
YYY US Equity,1.0
ZROZ US Equity,-1.0
