,date,side,NAME_CHINESE_SIMPLIFIED,shares,price,current,PREV_CLOSE_VAL,fx,notional,pnl_today,pnl_total,Quant,Pattern,country
300763 CH Equity,2022-05-12,BUY,锦浪科技股份有限公司,980,0,0,208.5,6.8125,30000,0,0,Quant,Pattern 95,CN
300765 CH Equity,2022-05-12,BUY,新诺威,15459,0,0,13.22,6.8125,30000,0,0,Quant,Pattern 95,CN
300769 CH Equity,2022-05-12,BUY,德方纳米,419,0,0,486.96,6.8125,30000,0,0,Quant,Pattern 95,CN
300791 CH Equity,2022-05-12,BUY,仙乐健康,8480,0,0,24.1,6.8125,30000,0,0,Quant,Pattern 95,CN
300826 CH Equity,2022-05-12,BUY,测绘股份,12461,0,0,16.4,6.8125,30000,0,0,Quant,Pattern 95,CN
002568 CH Equity,2022-05-12,BUY,百润股份,6605,0,0,30.94,6.8125,30000,0,0,Quant,Pattern 95,CN
002587 CH Equity,2022-05-12,BUY,奥拓电子,51221,0,0,3.99,6.8125,30000,0,0,Quant,Pattern 95,CN
002594 CH Equity,2022-05-12,BUY,比亚迪,808,0,0,252.7,6.8125,30000,0,0,Quant,Pattern 95,CN
002607 CH Equity,2022-05-12,BUY,中公教育,44141,0,0,4.63,6.8125,30000,0,0,Quant,Pattern 95,CN
002608 CH Equity,2022-05-12,BUY,江苏国信,35792,0,0,5.71,6.8125,30000,0,0,Quant,Pattern 95,CN
002613 CH Equity,2022-05-12,BUY,北玻股份,35420,0,0,5.77,6.8125,30000,0,0,Quant,Pattern 95,CN
002625 CH Equity,2022-05-12,BUY,光启技术,14163,0,0,14.43,6.8125,30000,0,0,Quant,Pattern 95,CN
002636 CH Equity,2022-05-12,BUY,金安国纪,25870,0,0,7.9,6.8125,30000,0,0,Quant,Pattern 95,CN
002637 CH Equity,2022-05-12,BUY,赞宇科技,13323,0,0,15.34,6.8125,30000,0,0,Quant,Pattern 95,CN
002663 CH Equity,2022-05-12,BUY,普邦股份,90033,0,0,2.27,6.8125,30000,0,0,Quant,Pattern 95,CN
003039 CH Equity,2022-05-12,BUY,顺控发展,10677,0,0,19.14,6.8125,30000,0,0,Quant,Pattern 95,CN
300003 CH Equity,2022-05-12,BUY,乐普医疗,11077,0,0,18.45,6.8125,30000,0,0,Quant,Pattern 95,CN
300009 CH Equity,2022-05-12,BUY,安科生物,22166,0,0,9.22,6.8125,30000,0,0,Quant,Pattern 95,CN
300012 CH Equity,2022-05-12,BUY,华测检测,9727,0,0,21.01,6.8125,30000,0,0,Quant,Pattern 95,CN
300014 CH Equity,2022-05-12,BUY,亿纬锂能,2810,0,0,72.72,6.8125,30000,0,0,Quant,Pattern 95,CN
300015 CH Equity,2022-05-12,BUY,爱尔眼科,6106,0,0,33.47,6.8125,30000,0,0,Quant,Pattern 95,CN
300042 CH Equity,2022-05-12,BUY,朗科科技,16521,0,0,12.37,6.8125,30000,0,0,Quant,Pattern 95,CN
300059 CH Equity,2022-05-12,BUY,东方财富,9160,0,0,22.31,6.8125,30000,0,0,Quant,Pattern 95,CN
300079 CH Equity,2022-05-12,BUY,数码视讯,43484,0,0,4.7,6.8125,30000,0,0,Quant,Pattern 95,CN
300080 CH Equity,2022-05-12,BUY,易成新能,49605,0,0,4.12,6.8125,30000,0,0,Quant,Pattern 95,CN
002332 CH Equity,2022-05-12,BUY,仙琚制药,21581,0,0,9.47,6.8125,30000,0,0,Quant,Pattern 95,CN
002335 CH Equity,2022-05-12,BUY,科华数据,9658,0,0,21.16,6.8125,30000,0,0,Quant,Pattern 95,CN
002355 CH Equity,2022-05-12,BUY,兴民智通,52946,0,0,3.86,6.8125,30000,0,0,Quant,Pattern 95,CN
002371 CH Equity,2022-05-12,BUY,北方华创,863,0,0,236.7,6.8125,30000,0,0,Quant,Pattern 95,CN
002386 CH Equity,2022-05-12,BUY,天原股份,21905,0,0,9.33,6.8125,30000,0,0,Quant,Pattern 95,CN
002387 CH Equity,2022-05-12,BUY,维信诺,34233,0,0,5.97,6.8125,30000,0,0,Quant,Pattern 95,CN
002399 CH Equity,2022-05-12,BUY,海普瑞,14650,0,0,13.95,6.8125,30000,0,0,Quant,Pattern 95,CN
002408 CH Equity,2022-05-12,BUY,齐翔腾达,28424,0,0,7.19,6.8125,30000,0,0,Quant,Pattern 95,CN
002418 CH Equity,2022-05-12,BUY,康盛股份,75694,0,0,2.7,6.8125,30000,0,0,Quant,Pattern 95,CN
002430 CH Equity,2022-05-12,BUY,杭氧股份,7121,0,0,28.7,6.8125,30000,0,0,Quant,Pattern 95,CN
601399 CH Equity,2022-05-12,BUY,ST国重装,67450,0,0,3.03,6.8125,30000,0,0,Quant,Pattern 95,CN
601598 CH Equity,2022-05-12,BUY,中国外运,53084,0,0,3.85,6.8125,30000,0,0,Quant,Pattern 95,CN
601601 CH Equity,2022-05-12,BUY,中国太保,9906,0,0,20.63,6.8125,30000,0,0,Quant,Pattern 95,CN
601633 CH Equity,2022-05-12,BUY,长城汽车,8058,0,0,25.36,6.8125,30000,0,0,Quant,Pattern 95,CN
601799 CH Equity,2022-05-12,BUY,星宇股份,1572,0,0,130.0,6.8125,30000,0,0,Quant,Pattern 95,CN
601800 CH Equity,2022-05-12,BUY,中国交建,19317,0,0,10.58,6.8125,30000,0,0,Quant,Pattern 95,CN
601878 CH Equity,2022-05-12,BUY,浙商证券,22508,0,0,9.08,6.8125,30000,0,0,Quant,Pattern 95,CN
601996 CH Equity,2022-05-12,BUY,丰林集团,70474,0,0,2.9,6.8125,30000,0,0,Quant,Pattern 95,CN
603005 CH Equity,2022-05-12,BUY,晶方科技,6700,0,0,30.5,6.8125,30000,0,0,Quant,Pattern 95,CN
603087 CH Equity,2022-05-12,BUY,甘李药业,4692,0,0,43.55,6.8125,30000,0,0,Quant,Pattern 95,CN
688683 CH Equity,2022-05-12,BUY,莱尔科技,9935,0,0,20.57,6.8125,30000,0,0,Quant,Pattern 95,CN
688981 CH Equity,2022-05-12,BUY,中芯国际,4848,0,0,42.15,6.8125,30000,0,0,Quant,Pattern 95,CN
688286 CH Equity,2022-05-12,BUY,敏芯股份,4603,0,0,44.4,6.8125,30000,0,0,Quant,Pattern 95,CN
688289 CH Equity,2022-05-12,BUY,圣湘生物,4621,0,0,44.22,6.8125,30000,0,0,Quant,Pattern 95,CN
688363 CH Equity,2022-05-12,BUY,华熙生物,1613,0,0,126.7,6.8125,30000,0,0,Quant,Pattern 95,CN
688388 CH Equity,2022-05-12,BUY,嘉元科技,2846,0,0,71.8,6.8125,30000,0,0,Quant,Pattern 95,CN
688500 CH Equity,2022-05-12,BUY,慧辰股份,9226,0,0,22.15,6.8125,30000,0,0,Quant,Pattern 95,CN
688510 CH Equity,2022-05-12,BUY,航亚科技,13625,0,0,15.0,6.8125,30000,0,0,Quant,Pattern 95,CN
688511 CH Equity,2022-05-12,BUY,天微电子,6066,0,0,33.69,6.8125,30000,0,0,Quant,Pattern 95,CN
688595 CH Equity,2022-05-12,BUY,芯海科技,3204,0,0,63.78,6.8125,30000,0,0,Quant,Pattern 95,CN
688619 CH Equity,2022-05-12,BUY,罗普特,15589,0,0,13.11,6.8125,30000,0,0,Quant,Pattern 95,CN
688679 CH Equity,2022-05-12,BUY,通源环境,20437,0,0,10.0,6.8125,30000,0,0,Quant,Pattern 95,CN
