,date,side,NAME_CHINESE_SIMPLIFIED,shares,price,current,PREV_CLOSE_VAL,fx,notional,pnl_today,pnl_total,Quant,Pattern,country
600213 CH Equity,2022-05-02,SELL,亚星客车,-110018,0,0,6.07,6.6781,100000,0,0,Quant,Pattern 95,CN
600219 CH Equity,2022-05-02,SELL,南山铝业,-204849,0,0,3.26,6.6781,100000,0,0,Quant,Pattern 95,CN
600230 CH Equity,2022-05-02,BUY,沧州大化,51212,0,0,13.04,6.6781,100000,0,0,Quant,Pattern 95,CN
600237 CH Equity,2022-05-02,BUY,铜峰电子,112996,0,0,5.91,6.6781,100000,0,0,Quant,Pattern 95,CN
600248 CH Equity,2022-05-02,SELL,陕西建工,-122085,0,0,5.47,6.6781,100000,0,0,Quant,Pattern 95,CN
600297 CH Equity,2022-05-02,SELL,广汇汽车,-302176,0,0,2.21,6.6781,100000,0,0,Quant,Pattern 95,CN
600298 CH Equity,2022-05-02,BUY,安琪酵母,17390,0,0,38.4,6.6781,100000,0,0,Quant,Pattern 95,CN
000034 CH Equity,2022-05-02,SELL,神州数码,-48532,0,0,13.76,6.6781,100000,0,0,Quant,Pattern 95,CN
000036 CH Equity,2022-05-02,BUY,华联控股,168638,0,0,3.96,6.6781,100000,0,0,Quant,Pattern 95,CN
000039 CH Equity,2022-05-02,BUY,中集集团,53424,0,0,12.5,6.6781,100000,0,0,Quant,Pattern 95,CN
000040 CH Equity,2022-05-02,BUY,东旭蓝天,238503,0,0,2.8,6.6781,100000,0,0,Quant,Pattern 95,CN
000063 CH Equity,2022-05-02,BUY,中兴通讯,27675,0,0,24.13,6.6781,100000,0,0,Quant,Pattern 95,CN
000156 CH Equity,2022-05-02,BUY,华数传媒,89398,0,0,7.47,6.6781,100000,0,0,Quant,Pattern 95,CN
000157 CH Equity,2022-05-02,BUY,中联重科,115139,0,0,5.8,6.6781,100000,0,0,Quant,Pattern 95,CN
000301 CH Equity,2022-05-02,BUY,东方盛虹,54515,0,0,12.25,6.6781,100000,0,0,Quant,Pattern 95,CN
000429 CH Equity,2022-05-02,BUY,粤高速,84001,0,0,7.95,6.6781,100000,0,0,Quant,Pattern 95,CN
000560 CH Equity,2022-05-02,BUY,我爱我家,232686,0,0,2.87,6.6781,100000,0,0,Quant,Pattern 95,CN
001215 CH Equity,2022-05-02,BUY,千味央厨,14208,0,0,47.0,6.6781,100000,0,0,Quant,Pattern 95,CN
001696 CH Equity,2022-05-02,BUY,宗申动力,123439,0,0,5.41,6.6781,100000,0,0,Quant,Pattern 95,CN
002001 CH Equity,2022-05-02,SELL,新 和 成,-24946,0,0,26.77,6.6781,100000,0,0,Quant,Pattern 95,CN
002010 CH Equity,2022-05-02,BUY,传化智联,105332,0,0,6.34,6.6781,100000,0,0,Quant,Pattern 95,CN
002032 CH Equity,2022-05-02,BUY,苏泊尔,12124,0,0,55.08,6.6781,100000,0,0,Quant,Pattern 95,CN
002035 CH Equity,2022-05-02,BUY,华帝股份,132239,0,0,5.05,6.6781,100000,0,0,Quant,Pattern 95,CN
002048 CH Equity,2022-05-02,BUY,宁波华翔,49836,0,0,13.4,6.6781,100000,0,0,Quant,Pattern 95,CN
002080 CH Equity,2022-05-02,SELL,中材科技,-32848,0,0,20.33,6.6781,100000,0,0,Quant,Pattern 95,CN
002106 CH Equity,2022-05-02,BUY,莱宝高科,93139,0,0,7.17,6.6781,100000,0,0,Quant,Pattern 95,CN
002158 CH Equity,2022-05-02,BUY,汉钟精机,43790,0,0,15.25,6.6781,100000,0,0,Quant,Pattern 95,CN
002594 CH Equity,2022-05-02,BUY,比亚迪,2748,0,0,243.0,6.6781,100000,0,0,Quant,Pattern 95,CN
002597 CH Equity,2022-05-02,BUY,金禾实业,17550,0,0,38.05,6.6781,100000,0,0,Quant,Pattern 95,CN
002603 CH Equity,2022-05-02,BUY,以岭药业,26819,0,0,24.9,6.6781,100000,0,0,Quant,Pattern 95,CN
002693 CH Equity,2022-05-02,BUY,双成药业,106678,0,0,6.26,6.6781,100000,0,0,Quant,Pattern 95,CN
002702 CH Equity,2022-05-02,SELL,海欣食品,-128672,0,0,5.19,6.6781,100000,0,0,Quant,Pattern 95,CN
002705 CH Equity,2022-05-02,SELL,新宝股份,-40497,0,0,16.49,6.6781,100000,0,0,Quant,Pattern 95,CN
002723 CH Equity,2022-05-02,BUY,金莱特,50098,0,0,13.33,6.6781,100000,0,0,Quant,Pattern 95,CN
002737 CH Equity,2022-05-02,BUY,葵花药业,35903,0,0,18.6,6.6781,100000,0,0,Quant,Pattern 95,CN
002780 CH Equity,2022-05-02,SELL,三夫户外,-61323,0,0,10.89,6.6781,100000,0,0,Quant,Pattern 95,CN
002790 CH Equity,2022-05-02,BUY,瑞尔特,114155,0,0,5.85,6.6781,100000,0,0,Quant,Pattern 95,CN
603011 CH Equity,2022-05-02,SELL,合锻智能,-128425,0,0,5.2,6.6781,100000,0,0,Quant,Pattern 95,CN
603017 CH Equity,2022-05-02,SELL,中衡设计,-79977,0,0,8.35,6.6781,100000,0,0,Quant,Pattern 95,CN
603018 CH Equity,2022-05-02,BUY,华设集团,79406,0,0,8.41,6.6781,100000,0,0,Quant,Pattern 95,CN
